Grid ID 2019,Easting,Northing,Zone,Borough,co2_Accidental Fires,co2_Agriculture,co2_Aviation,co2_Biomass,co2_Commercial Cooking,co2_Construction,co2_Forestry,co2_Gas Leakage,co2_Heat and Power Generation,co2_Industrial Processes,co2_Machinery,co2_Rail,co2_Resuspension,co2_River,co2_Road Transport,co2_Waste,nox,pm10,pm2.5,nox_hotspot
78,516500,199500,Non GLA,Non GLA,0.0,1.4603633084897,0.0,0.0,0.0,0.0,0.0,0.35391,4524.487239391773,1.543471272,8.94319596211736,977.1001528300001,0.0,0.0,2333.095965175201,0.0,15.999502422429483,2.0548708691021482,1.2427563454156019,0
79,517500,199500,Non GLA,Non GLA,0.0,4.69407994269541,0.0,0.0,0.0,0.0,0.0,0.03715,1706.171954457736,2.049691605,1.52977591913651,29.814910207,0.0,0.0,704.7825380582308,0.0,4.190689798364402,0.5559693632240157,0.34313890600058045,0
80,518500,199500,Non GLA,Non GLA,0.0,8.24071866900279,0.0,0.0,0.0,0.0,0.0,0.00862,688.7571461704858,2.705902403,0.941400114574721,0.0,0.0,0.0,71.42188821629688,0.0,2.228906744696326,0.21681325419823258,0.17331504703704145,0
81,519500,199500,Non GLA,Non GLA,0.0,8.86648970307189,0.0,0.0,0.0,0.0,0.0,0.01057,754.0234765968366,0.0,0.588368265620892,0.0,0.0,0.0,560.1264552203274,0.0,3.4615217079688354,0.49662375394956554,0.2770696920300668,0
82,520500,199500,Non GLA,Non GLA,0.0,9.28384704753737,0.0,0.0,0.0,0.0,0.0,0.00087,644.4726836640614,0.0,0.353025147673033,0.0,0.0,0.0,75.75202925363114,0.0,2.2736586938893493,0.22295185572488974,0.17834827126128136,0
83,521500,199500,Non GLA,Non GLA,0.0,10.0140376589415,0.0,0.0,0.0,0.0,0.0,0.0004,661.9372498315029,0.0,0.117675328444377,0.0,0.0,0.0,73.06367957844772,0.0,2.2821158946504636,0.2096895102391399,0.16605405568806642,0
84,522500,199500,Non GLA,Non GLA,0.0,8.86659569612354,0.0,0.0,0.0,0.0,0.0,0.00067,665.0350397797617,0.0,0.706050295346066,0.0,0.0,0.0,10966.109628823848,0.0,24.470518106693564,5.669468338473493,1.6380374988030666,0
85,523500,199500,Non GLA,Non GLA,0.0,8.55355417523128,0.0,0.0,0.0,0.0,0.0,0.00108,953.0060501955629,0.0,0.353020959372535,0.0,0.0,0.0,14319.940205138982,0.0,29.385425691627262,7.260504765987276,1.9088164392656521,1
86,524500,199500,Non GLA,Non GLA,0.0,8.55365718256317,0.0,0.0,0.0,0.0,0.0,0.00514,836.8885416407738,0.0,0.706050295346066,0.0,0.0,0.0,670.5818042939243,0.0,3.7289279766183077,0.5613599079412386,0.29218986788206347,0
87,538500,199500,Non GLA,Non GLA,0.0,4.7983353054434,0.0,0.0,0.0,0.0,0.0,0.08134,1626.6431864954536,4.027860416,2.23579857169929,0.0,0.0,0.0,14497.551353229883,0.0,30.284864631997117,5.876876507049844,1.4640749850692376,1
88,539500,199500,Non GLA,Non GLA,0.0,8.970908533977,0.0,0.0,0.0,0.0,0.0,0.01274,1025.549647053318,0.0,0.47070047611741,0.0,0.0,0.0,13085.647217540907,0.0,26.642592001877976,5.067732597835888,1.0734941909089972,0
89,540500,199500,Non GLA,Non GLA,0.0,6.98896386833136,0.0,0.0,0.0,0.0,0.0,0.00042,731.4064941229257,0.0,1.29442526224775,0.0,0.0,0.0,13531.737398869394,0.0,26.302269506957764,6.033936799646015,1.3860286373472452,0
90,541500,199500,Non GLA,Non GLA,0.0,1.77329808990037,0.0,0.0,0.0,0.0,0.0,0.0254,625.7115708956599,0.775136645,1.52975749061432,0.0,0.0,0.0,4250.335823966839,0.0,9.392517730600096,2.159006679127958,0.6488136719188631,0
91,542500,199500,Non GLA,Non GLA,0.0,2.08625750349909,0.0,0.0,0.0,0.0,0.0,0.00063,592.3328095298716,0.0,0.47070047611741,0.0,0.0,0.0,2434.294510743018,0.0,6.3261292266636255,1.4618748545899285,0.5775406760810042,0
92,543500,199500,Non GLA,Non GLA,0.0,0.625877027120745,0.0,0.0,0.0,0.0,0.0,0.0,496.42707041871387,0.0,0.0,0.0,0.0,0.0,1049.9017208079563,0.0,2.973871244236673,0.6543088175743189,0.2737807151803404,0
93,544500,199500,Non GLA,Non GLA,0.0,2.92076095275669,0.0,0.0,0.0,0.0,0.0,0.04649,598.4914599398952,0.579903522,3.64792596751461,0.0,0.0,0.0,1134.3323165463644,0.0,3.178941419575377,0.7614795838062809,0.3467349281604668,0
94,545500,199500,Non GLA,Non GLA,0.0,6.36300995892667,0.0,0.0,0.0,0.0,0.0,0.17902,2883.29206502731,2.996927471,4.47159798105868,0.0,0.0,0.0,585.5846239296134,0.0,2.886332955001869,0.9486127020285606,0.7291459090406188,0
95,546500,199500,Non GLA,Non GLA,0.0,8.24071866900279,0.0,0.0,0.0,0.0,0.0,0.0003,123.2330460197906,0.0,0.47070047611741,0.0,0.0,0.0,7012.581526203181,0.0,16.291015594160225,2.612456286422282,0.7265146738728501,0
96,547500,199500,Non GLA,Non GLA,0.0,7.30190238189173,0.0,0.0,0.0,0.0,0.0,0.00331,86.7433107498274,0.089698485,0.706050295346066,0.0,0.0,0.0,13973.87325614786,0.0,25.88207264247733,6.3058420647376074,1.3864611570261014,0
97,548500,199500,Non GLA,Non GLA,0.0,8.13640583114934,0.0,0.0,0.0,0.0,0.0,0.00202,93.67913627485044,0.0,0.353025147673033,0.0,0.0,0.0,12244.534450009025,0.0,21.97757769921852,4.886952718171827,0.9542037526003532,0
98,504500,198500,Non GLA,Non GLA,0.0,8.97078313374687,0.0,0.0,0.0,0.0,0.0,0.01012,614.9735345092838,0.835816093,0.941387549673228,0.0,0.0,0.0,3136.4255471201436,0.0,7.202127381400535,1.2460157722046115,0.34184293124519854,0
