Grid ID 2019,Easting,Northing,Borough,Zone,share_Accidental Fires,share_Agriculture,share_Aviation,share_Biomass,share_Commercial Cooking,share_Construction,share_Forestry,share_Gas Leakage,share_Heat and Power Generation,share_Industrial Processes,share_Machinery,share_Rail,share_Resuspension,share_River,share_Road Transport,share_Waste,nox,pm10,pm2.5,co2
3397,530500,178500,Lambeth,Central,0.0008270445486691665,0.0001224572407535062,0.0,0.0,0.0,0.17891945186011265,0.0,0.0,0.4241950711006009,0.011543164623997824,1.5616131920068024e-05,0.01342982557716334,0.0,0.0004850765410617811,0.3704476754595003,1.4616916220497753e-05,25.15066998147446,2.9229073173112705,1.3486857622959434,15998.884478930668
3398,527500,180500,City of Westminster,Inner,0.00012846221066816724,0.0013434717702401507,0.0,0.0,0.0,0.0010591325253221965,0.0,0.0,0.6446683105859808,0.0,0.00017574815696497147,0.0,0.0,0.0,0.35262212295247636,2.751798347449318e-06,58.38292802988864,4.908066958937894,2.5711214235331514,32626.79854618553
3399,527500,180500,City of Westminster,Central,0.004139719148017974,0.003417364032621791,0.0,0.0,0.0,0.0,0.0,0.0,0.8867172948924182,0.0,2.368758919209461e-06,0.0,0.0,0.0,0.1057232160569979,3.7111024990079086e-08,0.9058585536643072,0.22546393707542564,0.200257318097509,727.2089332670861
3400,531500,178500,Southwark,Inner,0.0008439985934277228,0.00023965592591674526,0.0,0.0,0.0,0.04164487950824627,0.0,0.0,0.4196445320767579,0.007989008510713023,2.4798593045629927e-05,0.0,0.0,0.0,0.5296127385062698,3.882856229741542e-07,12.85126431675772,2.157882392558252,1.068427604550378,9730.060593955972
3401,531500,178500,Southwark,Central,0.0011667937715277973,0.0014074699346377068,0.0,0.0,0.0,0.004582152860023457,0.0,0.0,0.8095060685280272,0.014119943707718716,1.3191087829616003e-05,0.0,0.0,0.0,0.16920417358109635,2.0652913904031507e-07,2.188239743697391,0.15587473105432129,0.11182795930861207,1955.107854927887
3402,533500,182500,Tower Hamlets,Inner,0.0027948393422531923,0.00019496801941519277,0.0,0.0,0.0,0.1147005328812709,0.0,0.0,0.45516608331165126,0.04929923510925748,0.0,0.0005495132842011421,0.0,0.0,0.37729482805195086,0.0,15.796855598531058,3.285019303027027,2.187300186265453,11581.67776652061
3403,533500,182500,Tower Hamlets,Central,0.0003450884588292099,0.003505098035212275,0.0,0.0,0.0,0.29694486400167047,0.0,0.0,0.5745880084006255,0.023152179375793194,0.0,0.0,0.0,0.0,0.10146476172786938,0.0,0.8786863072281734,2.0388302621753276,0.30549777812114354,569.501875023098
3404,528500,182500,City of Westminster,Inner,0.00012917748149007252,0.0006005556665936538,0.0,0.0,0.0,0.009340695815813623,0.0,0.0,0.46025078942837966,0.002865200124939348,0.00016811474937297928,0.0,0.0,0.0,0.5265842957072885,6.117102612212244e-05,36.73240835218374,4.0356363034540355,1.8999568815356334,18817.348733220904
3405,528500,182500,City of Westminster,Central,0.001794253093092444,0.0004006723855012267,0.0,0.0,0.0,0.23080871867890487,0.0,0.0,0.5969296550040097,0.0017270396776756165,1.4364666187270274e-05,0.0,0.0,0.0,0.16832507157610768,2.2491852125207e-07,8.638692088464136,1.3327267336102826,0.6262842034595614,5593.039234217337
3406,530500,182500,Camden,Inner,0.0001915133070803017,0.00018162842802842786,0.0,0.0,0.0,0.03389261635115816,0.0,0.0,0.3055983703183929,0.027228170578554756,2.266049975835229e-06,0.0003047740115111851,0.0,0.0,0.6326006254740802,3.548121813138324e-08,16.95704622049224,2.470842343030405,1.2513918366154342,9215.020399484996
3407,530500,182500,Camden,Central,0.0006060387512363189,4.407494571405825e-05,0.0,0.0,0.0,0.05693304094211619,0.0,0.0,0.6908134567589851,0.04464256813877149,2.510306620121851e-05,1.2990144089021297e-05,0.0,0.0,0.20686310583949788,5.9621413388634566e-05,69.8782857048655,12.440373954126477,5.918823878243067,48985.44358868695
3408,532500,182500,Islington,Inner,0.00025739545969305575,0.0003523322457125149,0.0,0.0,0.0,0.04648599250039554,0.0,0.0,0.14732852651366962,0.01073870113792683,1.8918440519076e-07,0.00030952501855780677,0.0,0.0,0.7945273349802888,2.9593507650279563e-09,8.741412932004033,1.2527124521040875,0.5044032710630302,4172.182435028889
3409,532500,182500,Islington,Central,0.0007765880753919706,5.9359840065587973e-05,0.0,0.0,0.0,0.1087111855383274,0.0,0.0,0.6603964335775953,0.028636715162187857,7.977651157758109e-06,0.0001853770146934148,0.0,0.0,0.201217607378167,8.75576241363143e-06,51.884938463957646,11.06466964260059,4.033295787196144,35141.13057141905
3410,529500,180500,City of Westminster,Central,0.0009663613640379545,2.547870794408343e-05,0.0,0.0,0.0,0.08588827404420778,0.0,0.0,0.604698591323242,0.02761807896596008,3.176153242545614e-05,0.0,0.0,0.0,0.28065817647061775,0.00011327759156491383,120.88060571174287,42.019183721457665,26.88951411287725,69827.50776218766
3411,531500,180500,Southwark,Central,0.0006910467197664046,0.0001530391570365306,0.0,0.0,0.0,0.13756440331217193,0.0,0.0,0.4984221407290147,0.009218941002934694,0.0,0.0005702621591701969,0.0,0.04495258687175406,0.3084275800481516,0.0,20.124794913096842,4.445014798442137,1.9442669874726495,11556.010998702772
3412,531500,180500,City of Westminster,Central,0.0,0.000532463274268142,0.0,0.0,0.0,0.0,0.0,0.0,0.36964382081997227,0.00384305302474163,0.0,0.0,0.0,0.2275562569280644,0.3984244059529536,0.0,5.784214231989283,0.47964782615087276,0.2706628909481516,2422.67566273771
3413,533500,180500,City,Inner,0.0,0.0006559940790596717,0.0,0.0,0.0,0.0,0.0,0.0,0.4851953624590743,0.012543160546549349,0.0,5.3050660992388884e-05,0.0,0.0,0.5015524322543242,0.0,4.6949839142576195,0.5058701942674878,0.211683261877387,2506.0759565014255
3414,533500,180500,City,Central,0.00019520756780317056,6.687610743375174e-05,0.011102437717844,0.0,0.0,0.031485934057065686,0.0,0.0,0.4886014508209108,0.014882577698248639,0.0,2.708564716373715e-06,0.0,0.26752972042823453,0.1861330870377431,0.0,46.053542396802435,6.240613054984381,4.107402579483233,19550.687180179197
3415,529500,178500,City of Westminster,Inner,0.0007054717504319724,6.634410681120313e-05,0.0,0.0,0.0,0.031479179083748914,0.0,0.0,0.5321155069182494,0.0012085118394275954,0.0,0.0,0.0,0.04856639073283622,0.38585859556849456,0.0,46.422836888857155,7.553892577684663,4.952819956978592,31877.769597005386
3416,529500,178500,City of Westminster,Central,0.0008860254114908153,0.00015162402586069336,0.0,0.0,0.0,0.029756423929390836,0.0,0.0,0.8002549056819593,0.0014856571332478037,0.0,0.0,0.0,2.6085140401411498e-06,0.16746275530401045,0.0,20.31262282841034,2.0562557954318077,1.4767050961918387,15927.895305176813
3417,530500,179500,Lambeth,Central,0.00045038046200729587,8.135246802739614e-05,0.0,0.0,0.0,0.057610147033281316,0.0,0.0,0.5888884928113283,0.001592072557235863,2.2705314444307127e-05,0.006670116577749977,0.0,0.0008449940156550198,0.3438269428203245,1.2795939946100654e-05,37.85849063603361,12.888300494084284,2.612977662929061,23416.713031602438
3418,533500,179500,Southwark,Inner,0.00103003153264162,8.061135655624836e-05,0.0,0.0,0.0,0.0864675262113988,0.0,0.0,0.46007776408986684,0.013483190798560071,3.242253201969713e-05,0.0054367840031820085,0.0,7.265181832545011e-06,0.4333588929312356,2.5511362706606134e-05,38.206547819156775,6.414236229598531,2.670004826186333,25774.691116420472
3419,533500,179500,Southwark,Central,0.0006228872229367403,0.00015288369496390777,0.0,0.0,0.0,0.10419308534778583,0.0,0.0,0.7071320770020851,0.013418959393788312,1.693307855133559e-05,0.0071171208671756015,0.0,0.0,0.16734578826252,2.651301930762662e-07,20.14525911190521,1.8494791463484797,1.4267356000085416,15333.795148280935
3420,528500,182500,Camden,Inner,0.0007567516316906659,0.000678203451097518,0.0,0.0,0.0,0.026476766376966304,0.0,0.0,0.4733800920674579,0.004273938810606768,0.00015468919201360172,0.0,0.0,0.0,0.494277136402916,2.4220672513136944e-06,15.189924300947874,1.6354990847153255,0.8488390483484407,10088.594002639622
3421,528500,182500,Camden,Central,0.0,0.013466886194930574,0.0,0.0,0.0,0.0,0.0,0.0,0.9371174801474309,0.002143860235449746,5.975272534536569e-07,0.0,0.0,0.0,0.04727116671819533,9.176740053067418e-09,0.22873039570936837,0.01440144645968556,0.006151108586008644,184.36153445783665
